,country,population,2020-09-28,2020-09-29,2020-09-30,2020-10-01,tests.total,2020-10-03
0,Albania,2877026,13391,13518,13518.0,13806,86747.0,14117
1,Andorra,77295,1966,1966,1966.0,2050,137457.0,2110
2,Austria,9019005,43432,44041,44813.0,45686,1673868.0,47432
3,Belarus,9448561,77946,78260,78631.0,79019,1897263.0,79852
4,Belgium,11602026,114179,115353,117115.0,118452,3326787.0,124234
5,Bosnia-and-Herzegovina,3275766,27001,27226,27469.0,27749,245211.0,27975
6,Bulgaria,6935465,20271,20547,20547.0,20833,538955.0,21336
7,Channel-Islands,174254,664,664,664.0,665,123884.0,678
8,Croatia,4098930,16245,16380,16593.0,16827,321551.0,17401
9,Czechia,10713834,65883,66788,67843.0,72162,1433997.0,79475
10,Denmark,5797170,27072,27464,27998.0,28396,4006432.0,29302
11,Estonia,1326756,3266,3315,3371.0,3450,220132.0,3577
12,Faeroe-Islands,48908,460,463,463.0,472,133306.0,473
13,Finland,5542847,9743,9892,9992.0,10103,1071331.0,10391
14,France,65308767,542639,550690,550690.0,577505,11174392.0,606625
15,Germany,83849953,288618,290466,290920.0,295530,16999253.0,300028
16,Gibraltar,33689,382,391,396.0,410,48790.0,428
17,Greece,10410475,17707,18123,18123.0,18886,1339664.0,19613
18,Hungary,9654248,24716,25567,26461.0,27309,751217.0,29717
19,Iceland,341786,2663,2695,2695.0,2769,285315.0,2872
20,Ireland,4951033,35377,35740,35740.0,36597,1221801.0,37668
21,Isle-of-Man,85142,340,340,340.0,340,13257.0,342
22,Italy,60439986,311364,313011,313011.0,317409,11691391.0,322751
23,Latvia,1880937,1697,1729,1824.0,1868,332285.0,2019
24,Liechtenstein,38155,117,118,118.0,119,900.0,123
25,Lithuania,2712663,4490,4587,4693.0,4784,796027.0,5081
26,Luxembourg,628428,8376,8431,8431.0,8595,849977.0,8797
27,Malta,441833,3006,3035,3058.0,3095,260917.0,3204
28,Moldova,4031657,51194,52029,52029.0,54064,292588.0,55888
29,Monaco,39309,212,214,214.0,219,51953.0,222
30,Montenegro,628085,10441,10575,10575.0,10987,70925.0,11934
31,Netherlands,17144127,114540,117551,120845.0,124097,2449577.0,131889
32,North-Macedonia,2083353,17674,17786,17786.0,18138,193652.0,18602
33,Norway,5431601,13788,13861,13915.0,14085,1075807.0,14328
34,Poland,37836322,88636,89962,91514.0,93481,3390790.0,98140
35,Portugal,10189388,74029,74717,74717.0,76396,2647756.0,78247
36,Romania,19205541,123944,125414,127572.0,129658,2496439.0,134065
37,Russia,145949954,1159573,1167805,1176286.0,1185231,47247274.0,1204502
38,San-Marino,33949,727,727,727.0,732,7755.0,732
39,Serbia,8728688,33414,33479,33551.0,33662,1151790.0,33842
40,Slovakia,5460297,9343,9574,10141.0,10938,484337.0,12321
41,Slovenia,2079009,5388,5487,5690.0,5865,234571.0,6330
42,Spain,46759213,748266,758172,758172.0,778607,12723989.0,810807
43,Sweden,10114527,90923,92466,92863.0,93615,1661484.0,94283
44,Switzerland,8669932,52646,52871,53282.0,53832,1391498.0,54384
45,UK,67972591,439013,446156,446156.0,460178,25048460.0,480017
46,Ukraine,43668011,201305,204932,208959.0,213028,2308415.0,222322
47,Vatican-City,801,12,12,12.0,12,,12
