,country,population,2020-10-06,tests.total
0,Albania,2876966,14410,88622.0
1,Andorra,77298,2370,137457.0
2,Austria,9019845,48896,1698268.0
3,Belarus,9448502,80696,1949656.0
4,Belgium,11602851,130235,3402761.0
5,Bosnia-and-Herzegovina,3275378,28449,248975.0
6,Bulgaria,6934471,21870,546789.0
7,Channel-Islands,174280,686,123884.0
8,Croatia,4098517,17797,328392.0
9,Czechia,10714212,83696,1457315.0
10,Denmark,5797559,30057,4084612.0
11,Estonia,1326770,3617,221992.0
12,Faeroe-Islands,48912,475,134070.0
13,Finland,5542988,10702,1084319.0
14,France,65311522,624274,11616000.0
15,Germany,83854334,304657,16999253.0
16,Gibraltar,33688,432,49149.0
17,Greece,10409506,20142,1355126.0
18,Hungary,9653847,31480,765598.0
19,Iceland,341822,2980,289017.0
20,Ireland,4952088,38549,1245263.0
21,Isle-of-Man,85151,344,13627.0
22,Italy,60438292,327586,11844346.0
23,Latvia,1880597,2126,336577.0
24,Liechtenstein,38157,127,900.0
25,Lithuania,2712045,5285,801362.0
26,Luxembourg,628595,8925,856798.0
27,Malta,441852,3327,265630.0
28,Moldova,4031478,56901,293824.0
29,Monaco,39315,223,51953.0
30,Montenegro,628087,12359,72393.0
31,Netherlands,17144850,140471,2603166.0
32,North-Macedonia,2083351,18873,195541.0
33,Norway,5432295,14527,1075807.0
34,Poland,37835645,102080,3465605.0
35,Portugal,10188821,79885,2647756.0
36,Romania,19203449,137491,2516746.0
37,Russia,145950977,1225889,48042343.0
38,San-Marino,33950,732,7755.0
39,Serbia,8728018,33952,1159806.0
40,Slovakia,5460340,13492,496284.0
41,Slovenia,2079013,6573,237545.0
42,Spain,46759558,852838,13689776.0
43,Sweden,10115730,94283,1661484.0
44,Switzerland,8671140,55932,1417260.0
45,UK,67979397,515571,25865851.0
46,Ukraine,43663726,230236,2382259.0
47,Vatican-City,802,12,
