Canton,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07
Aargau,11.53,13.57,14.74,15.03,15.46,17.07,18.24,18.24,17.95,18.82,18.09,18.67,18.67,19.26,19.26,19.55,20.13,21.88,22.76,23.34,22.47,22.18,20.57,18.53,18.53,19.11,18.67,18.09,19.26,19.55,19.4,19.84,18.67,19.11,20.28,19.11,20.28,22.91,21.74,23.05,21.45,21.59,22.03,21.01,17.8,16.05,14.44,13.57,12.26,11.67,10.07,10.5,11.38,11.23,13.86,14.59,16.05,20.86,18.24
Appenzell Ausserrhoden,5.43,5.43,5.43,12.67,14.48,14.48,14.48,14.48,16.29,21.73,14.48,16.29,16.29,16.29,16.29,14.48,9.05,10.86,9.05,9.05,9.05,5.43,5.43,5.43,7.24,5.43,5.43,5.43,10.86,10.86,10.86,7.24,7.24,7.24,7.24,21.73,21.73,21.73,32.59,34.4,34.4,34.4,18.1,18.1,18.1,7.24,12.67,12.67,12.67,16.29,16.29,32.59,32.59,36.21,36.21,36.21,48.88,48.88,32.59
Appenzell Innerrhoden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,6.19,6.19,6.19,12.39,12.39,18.58,30.97,30.97,30.97,30.97,37.16,37.16,49.55,30.97,30.97,30.97,30.97,37.16,37.16,24.78,30.97,37.16,37.16,37.16,24.78,24.78,24.78
Basel-Landschaft,5.55,5.9,5.55,5.55,6.25,10.41,10.41,11.45,9.02,9.02,11.45,13.19,10.76,11.45,10.76,12.15,12.84,11.11,9.72,11.11,10.76,10.76,11.11,10.76,11.8,10.41,8.68,9.72,9.37,10.06,9.72,9.72,12.15,12.84,11.45,11.45,11.45,10.76,10.06,7.64,6.59,6.59,7.29,5.21,5.21,4.16,5.9,6.25,6.59,6.59,6.25,6.25,7.64,7.29,9.37,11.11,11.45,14.92,19.09
Basel-Stadt,9.24,9.76,9.76,14.89,16.94,26.7,28.24,29.27,29.27,31.83,28.24,27.73,22.59,22.08,21.05,18.48,15.4,15.92,18.48,15.92,15.4,15.4,17.46,18.48,16.94,14.38,13.86,14.38,16.43,17.97,16.43,17.46,16.43,14.38,15.92,13.86,12.32,10.78,9.76,12.32,13.35,10.78,9.76,9.24,8.73,8.73,6.67,7.19,8.21,9.24,8.21,10.78,10.78,12.32,17.46,19.0,20.02,22.59,26.7
Bern,5.7,6.67,6.67,7.83,8.7,9.47,10.24,10.44,9.86,10.34,9.08,8.99,8.31,8.5,9.08,9.47,9.86,10.63,11.01,11.98,12.75,12.27,12.75,11.4,11.79,11.88,13.91,13.91,14.01,14.11,15.56,16.04,16.81,15.46,17.3,17.87,18.84,21.74,23.19,24.83,28.12,28.89,30.24,30.05,28.21,29.57,28.12,26.28,24.83,24.44,24.35,25.31,24.83,26.67,27.34,30.24,31.59,35.56,39.32
Fribourg,9.1,10.35,10.35,10.04,9.73,12.55,12.86,12.24,12.86,15.69,18.51,24.79,30.75,39.22,41.73,43.3,45.18,46.75,46.12,43.3,40.48,39.22,41.1,42.36,47.69,51.77,52.08,61.18,66.52,68.09,76.87,79.07,74.68,79.38,72.79,71.22,72.48,64.01,56.48,58.36,58.67,53.34,49.57,50.83,46.12,42.99,40.16,34.2,34.83,33.57,28.87,29.81,35.14,37.34,39.22,41.73,44.24,51.46,61.18
Genève,47.65,52.45,52.65,54.26,51.25,51.45,48.65,49.65,46.05,45.65,45.05,47.05,44.65,45.25,42.44,41.84,43.45,45.05,45.85,51.65,53.86,56.26,60.46,62.26,63.07,62.87,60.66,58.26,58.46,55.46,54.46,53.86,53.46,58.06,58.86,60.86,64.87,70.87,72.68,76.68,75.28,75.28,74.68,75.88,71.27,67.67,63.27,59.86,57.86,55.46,53.06,55.26,62.46,66.67,73.88,78.28,89.29,104.91,92.9
Glarus,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,14.85,12.38,14.85,17.33,17.33,17.33,24.75,22.28,19.8,17.33,14.85,14.85,14.85,7.43,9.9,9.9,7.43,7.43,7.43,7.43,4.95,0.0,2.48,2.48,4.95,4.95,4.95,4.95,4.95,4.95,7.43,9.9,9.9,9.9,9.9,14.85,19.8,17.33,14.85,14.85,14.85,19.8,17.33,17.33,22.28,19.8,19.8,19.8,24.75,24.75,19.8
Graubünden,6.05,6.05,5.04,4.54,5.54,6.05,6.05,4.54,5.54,9.07,12.6,11.59,13.61,13.61,14.62,14.62,13.61,11.59,13.61,10.59,11.09,9.58,8.57,7.06,7.56,4.54,11.09,10.59,11.09,12.6,14.11,13.61,16.63,13.61,13.61,14.62,12.6,11.09,10.08,8.57,7.56,7.56,6.55,7.06,7.56,8.07,7.06,5.54,5.54,8.07,9.58,12.6,15.63,22.18,23.69,23.69,24.2,33.77,29.24
