Canton,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,population
Aargau,1620.0,1635.0,1651.0,1669.0,1679.0,1687.0,1690.0,1699.0,1728.0,1752.0,1772.0,1785.0,1804.0,1815.0,1824.0,1851.0,1881.0,1896.0,1913.0,1932.0,1947.0,1956.0,1985.0,2019.0,2046.0,2069.0,2092.0,2101.0,2108.0,2126.0,2146.0,2173.0,2200.0,2220.0,2225.0,2240.0,2260.0,2279.0,2309.0,2328.0,2351.0,2364.0,2371.0,2399.0,2436.0,2458.0,2486.0,2498.0,2512.0,2522.0,2543.0,2558.0,2568.0,2585.0,2591.0,2596.0,2602.0,2612.0,2630.0,2646.0,2662.0,2686.0,2696.0,2712.0,2755.0,2755.0,685424
Appenzell Ausserrhoden,110.0,110.0,110.0,110.0,110.0,110.0,110.0,113.0,113.0,113.0,117.0,118.0,118.0,118.0,121.0,122.0,125.0,125.0,127.0,127.0,127.0,130.0,130.0,130.0,131.0,132.0,132.0,132.0,133.0,133.0,133.0,135.0,135.0,135.0,135.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,151.0,151.0,151.0,157.0,158.0,158.0,158.0,161.0,161.0,161.0,161.0,165.0,165.0,165.0,170.0,170.0,179.0,179.0,185.0,185.0,185.0,197.0,197.0,197.0,55234
Appenzell Innerrhoden,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,27.0,27.0,28.0,31.0,31.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,39.0,39.0,40.0,41.0,42.0,42.0,42.0,43.0,43.0,44.0,16145
Basel-Landschaft,966.0,973.0,978.0,980.0,982.0,982.0,982.0,982.0,990.0,994.0,996.0,1000.0,1012.0,1012.0,1015.0,1016.0,1020.0,1029.0,1038.0,1043.0,1045.0,1046.0,1051.0,1057.0,1061.0,1066.0,1075.0,1076.0,1077.0,1083.0,1088.0,1095.0,1096.0,1100.0,1104.0,1104.0,1112.0,1116.0,1123.0,1131.0,1137.0,1137.0,1137.0,1145.0,1147.0,1152.0,1153.0,1156.0,1156.0,1158.0,1160.0,1162.0,1164.0,1170.0,1174.0,1175.0,1177.0,1178.0,1180.0,1186.0,1191.0,1201.0,1207.0,1210.0,1221.0,1235.0,288132
Basel-Stadt,1069.0,1073.0,1079.0,1081.0,1082.0,1083.0,1085.0,1087.0,1092.0,1098.0,1110.0,1115.0,1135.0,1140.0,1144.0,1149.0,1160.0,1165.0,1169.0,1179.0,1183.0,1185.0,1185.0,1190.0,1196.0,1205.0,1210.0,1213.0,1215.0,1219.0,1226.0,1229.0,1233.0,1237.0,1241.0,1247.0,1254.0,1258.0,1263.0,1265.0,1265.0,1272.0,1274.0,1278.0,1279.0,1282.0,1289.0,1291.0,1293.0,1293.0,1296.0,1296.0,1299.0,1302.0,1305.0,1309.0,1311.0,1312.0,1317.0,1320.0,1326.0,1339.0,1346.0,1350.0,1356.0,1369.0,194766
Bern,2148.0,2151.0,2165.0,2177.0,2190.0,2198.0,2203.0,2207.0,2220.0,2234.0,2258.0,2280.0,2296.0,2309.0,2315.0,2322.0,2341.0,2352.0,2373.0,2382.0,2397.0,2409.0,2420.0,2443.0,2462.0,2487.0,2506.0,2529.0,2536.0,2552.0,2561.0,2584.0,2610.0,2650.0,2673.0,2681.0,2698.0,2722.0,2750.0,2784.0,2810.0,2852.0,2866.0,2893.0,2947.0,2990.0,3041.0,3101.0,3151.0,3179.0,3204.0,3239.0,3296.0,3332.0,3373.0,3408.0,3432.0,3456.0,3501.0,3553.0,3608.0,3656.0,3721.0,3759.0,3824.0,3908.0,1034977
Fribourg,1360.0,1360.0,1368.0,1373.0,1377.0,1378.0,1384.0,1389.0,1393.0,1401.0,1405.0,1408.0,1418.0,1425.0,1428.0,1434.0,1451.0,1464.0,1487.0,1516.0,1550.0,1561.0,1572.0,1595.0,1613.0,1634.0,1654.0,1679.0,1686.0,1703.0,1730.0,1765.0,1799.0,1820.0,1874.0,1898.0,1920.0,1975.0,2017.0,2037.0,2073.0,2106.0,2125.0,2151.0,2179.0,2197.0,2223.0,2260.0,2276.0,2283.0,2313.0,2326.0,2334.0,2351.0,2369.0,2387.0,2390.0,2405.0,2421.0,2446.0,2470.0,2494.0,2520.0,2531.0,2569.0,2616.0,318714
Genève,6091.0,6123.0,6154.0,6189.0,6234.0,6260.0,6293.0,6329.0,6385.0,6417.0,6460.0,6490.0,6517.0,6536.0,6577.0,6615.0,6645.0,6685.0,6725.0,6740.0,6762.0,6789.0,6824.0,6862.0,6910.0,6954.0,6998.0,7031.0,7070.0,7126.0,7173.0,7225.0,7268.0,7301.0,7322.0,7362.0,7403.0,7445.0,7494.0,7535.0,7591.0,7616.0,7666.0,7727.0,7799.0,7857.0,7918.0,7967.0,7992.0,8039.0,8106.0,8155.0,8195.0,8234.0,8266.0,8281.0,8316.0,8371.0,8431.0,8507.0,8567.0,8635.0,8672.0,8762.0,8895.0,8895.0,499480
Glarus,141.0,142.0,144.0,145.0,145.0,145.0,145.0,146.0,147.0,149.0,150.0,150.0,150.0,150.0,151.0,153.0,154.0,156.0,157.0,157.0,157.0,161.0,162.0,162.0,163.0,163.0,163.0,163.0,164.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,167.0,167.0,168.0,168.0,168.0,168.0,168.0,169.0,170.0,172.0,172.0,172.0,172.0,174.0,177.0,177.0,178.0,178.0,178.0,180.0,181.0,184.0,186.0,186.0,186.0,186.0,190.0,191.0,192.0,40403
Graubünden,932.0,934.0,936.0,937.0,939.0,940.0,940.0,944.0,946.0,946.0,946.0,950.0,952.0,952.0,953.0,957.0,964.0,971.0,973.0,979.0,979.0,982.0,986.0,991.0,994.0,1000.0,1000.0,1001.0,1001.0,1003.0,1005.0,1009.0,1009.0,1022.0,1022.0,1023.0,1028.0,1033.0,1036.0,1042.0,1049.0,1049.0,1052.0,1053.0,1055.0,1056.0,1059.0,1064.0,1064.0,1065.0,1067.0,1070.0,1072.0,1073.0,1075.0,1075.0,1081.0,1086.0,1095.0,1103.0,1117.0,1122.0,1122.0,1129.0,1153.0,1153.0,198379
