,denominazione_regione,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,population
0,Abruzzo,3387,3389,3398,3401,3420,3435,3474,3486,3502,3509,3512,3516,3532,3545,3558,3560,3565,3570,3577,3581,3604,3628,3648,3652,3662,3687,3705,3725,3739,3773,3777,3780,3804,3828,3853,3865,3891,3906,3919,3921,3932,3967,3978,4015,4016,4034,4052,4083,4137,4137,4137,4209,4227,4249,4266,4317,4333,4380,4384,4397,4419,4449,4498,4540,4577,4607,4655,4715,1311580
1,Basilicata,452,453,453,453,454,454,475,476,476,476,477,477,478,482,486,485,485,491,492,494,494,497,502,502,505,508,514,518,523,524,524,524,526,541,548,555,564,565,573,587,593,605,610,613,613,618,623,628,628,631,637,638,652,669,678,691,716,763,770,776,808,841,857,906,920,934,938,953,562869
2,Calabria,1269,1270,1270,1272,1274,1276,1283,1287,1287,1289,1300,1304,1316,1335,1345,1348,1352,1357,1367,1377,1379,1390,1398,1400,1408,1416,1422,1432,1443,1477,1491,1513,1545,1558,1577,1596,1623,1640,1648,1667,1675,1683,1701,1715,1718,1722,1741,1757,1785,1810,1832,1844,1868,1887,1896,1906,1921,1952,1957,1967,1985,2002,2020,2044,2063,2086,2109,2125,1947131
3,Campania,5009,5016,5020,5022,5030,5035,5050,5055,5077,5091,5114,5143,5170,5214,5232,5278,5312,5347,5403,5456,5523,5584,5722,5838,5976,6111,6241,6424,6612,6882,7066,7168,7285,7478,7649,7768,7868,8128,8377,8580,8760,8900,9003,9125,9215,9351,9537,9732,9940,10089,10260,10503,10659,10907,11102,11355,11629,11874,12169,12455,12742,13132,13524,13925,14337,14768,15163,15707,5801692
4,Emilia-Romagna,29726,29774,29808,29850,29897,29954,30008,30052,30121,30160,30179,30220,30257,30314,30385,30436,30477,30498,30574,30626,30708,30788,30915,31031,31094,31214,31385,31547,31696,31805,31922,32021,32128,32246,32371,32504,32628,32760,32854,32963,33073,33225,33363,33504,33631,33756,33862,33972,34093,34225,34340,34456,34511,34612,34711,34833,34932,35028,35113,35210,35311,35414,35577,35743,35922,36089,36261,36454,4459477
5,Friuli Venezia Giulia,3401,3411,3411,3416,3425,3432,3436,3442,3449,3449,3452,3461,3476,3484,3499,3507,3512,3522,3533,3547,3583,3616,3640,3642,3651,3684,3709,3728,3748,3764,3769,3786,3806,3831,3854,3903,3923,3934,3946,4000,4039,4073,4112,4157,4161,4181,4210,4273,4312,4345,4377,4390,4404,4461,4489,4526,4580,4608,4610,4638,4666,4723,4789,4840,4890,4911,4962,5034,1215220
6,Lazio,8665,8682,8697,8714,8726,8744,8764,8784,8822,8860,8883,8920,8956,9001,9059,9127,9178,9221,9296,9411,9548,9763,9947,10093,10236,10398,10550,10716,10887,11043,11191,11316,11446,11600,11771,11929,12051,12210,12339,12514,12677,12825,12980,13123,13304,13443,13608,13789,13982,14179,14344,14542,14780,14975,15205,15435,15654,15835,16046,16265,16475,16740,17004,17265,17509,17757,18032,18389,5879082
7,Liguria,10230,10236,10238,10243,10250,10263,10272,10276,10283,10293,10304,10330,10393,10413,10446,10458,10474,10501,10531,10562,10583,10617,10645,10671,10683,10724,10761,10807,10854,10907,10951,10970,11017,11039,11086,11181,11292,11351,11415,11466,11580,11662,11774,11852,11917,12058,12131,12171,12329,12407,12492,12556,12661,12769,12871,12944,13041,13086,13195,13284,13335,13446,13586,13748,13869,13976,14146,14322,1550640
8,Lombardia,96274,96312,96337,96381,96519,96637,96706,96782,96853,96884,96952,97054,97128,97225,97319,97380,97423,97473,97564,97718,97892,98077,98316,98426,98545,98814,99100,99416,99705,99940,100075,100317,100554,100782,101119,101507,101705,101814,102085,102303,102548,102805,103074,103339,103464,103640,103799,104080,104304,104547,104758,104848,105030,105226,105455,105732,105988,106204,106323,106526,106727,107051,107358,107751,108065,108316,108666,109186,10041828
9,Marche,6889,6897,6897,6899,6905,6914,6935,6938,6954,6956,6960,6976,6987,7019,7030,7035,7043,7058,7065,7078,7095,7105,7110,7113,7124,7133,7194,7211,7223,7238,7240,7256,7273,7294,7311,7343,7363,7369,7384,7403,7443,7484,7511,7550,7561,7575,7613,7650,7679,7703,7734,7751,7769,7801,7818,7851,7877,7901,7906,7932,7955,7983,8025,8084,8143,8165,8200,8284,1525271
10,Molise,473,475,477,477,478,478,479,479,479,479,479,479,485,485,487,487,487,496,503,507,509,510,511,511,511,520,521,522,524,525,525,528,528,530,534,534,536,545,548,552,555,559,562,565,569,570,576,578,581,586,587,618,620,623,627,632,637,644,648,649,655,656,660,660,675,677,683,684,305617
