,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15
South East,4.07,4.16,4.56,4.68,4.88,5.04,5.49,5.64,5.72,5.68,5.68,6.02,6.61,6.78,7.13,7.66,7.49,7.64,7.64,7.6,7.67,7.95,8.14,8.39,8.83,9.86,10.94,12.21,12.84,13.71,14.67,15.33,14.9,14.74,14.01,13.78,12.55,12.02,11.48,11.2,10.74,11.07,11.52,12.81,13.69,15.25,16.74,18.52,20.15,20.86,22.27,24.4,26.05,29.41,32.8,36.85,41.21,44.84,49.66,53.75,58.71,63.35,65.15,64.78,63.17,61.46,55.37,44.22,32.57
London,7.39,7.29,7.9,8.4,8.88,9.11,9.15,9.71,9.94,10.47,10.82,10.76,11.65,12.11,12.25,12.87,12.94,12.81,12.95,13.23,13.84,14.06,13.95,14.17,15.76,17.64,18.97,20.46,21.95,22.73,25.34,25.59,25.61,26.11,25.74,25.32,24.35,22.66,22.0,21.69,20.92,21.73,23.16,26.57,28.06,31.03,34.81,37.97,40.31,42.67,44.29,48.28,50.85,55.79,61.96,67.92,70.97,74.82,81.19,86.78,91.59,96.04,98.62,99.01,97.23,96.13,84.99,68.2,50.8
North West,23.72,23.59,24.38,24.81,24.98,24.42,24.45,23.65,23.06,22.03,20.42,20.13,19.96,19.53,19.77,19.79,19.1,19.37,19.78,20.64,22.67,23.67,25.57,26.0,29.19,34.34,38.92,42.62,46.53,50.8,60.18,65.77,68.04,71.9,75.18,78.19,78.71,79.96,82.92,91.12,97.7,104.93,114.65,127.16,132.39,143.63,151.86,161.81,171.21,177.25,185.42,205.02,220.18,238.39,256.88,273.52,287.11,297.53,316.49,336.76,349.66,359.67,364.68,364.93,364.61,364.68,318.26,260.82,203.45
East of England,5.95,5.74,5.72,5.58,5.79,6.06,6.03,5.82,5.89,5.82,6.01,5.97,6.3,6.22,6.53,6.93,7.55,8.21,8.69,9.33,9.96,10.44,11.02,11.0,11.37,12.64,13.07,13.41,13.65,13.52,14.45,15.15,14.4,14.66,14.74,14.54,14.26,13.95,13.61,13.94,13.63,15.03,16.0,17.85,18.41,19.58,20.77,22.29,22.74,23.62,24.94,27.97,31.03,34.28,37.88,42.24,46.12,49.39,53.77,57.84,62.01,65.71,67.57,67.13,66.5,66.93,59.62,48.91,37.75
West Midlands,10.4,10.99,12.13,13.25,13.9,13.95,15.05,15.42,15.35,15.03,14.12,13.87,14.64,13.52,13.18,13.33,13.2,13.73,13.85,13.52,14.41,15.03,15.23,15.18,17.16,20.71,24.47,28.95,32.34,36.11,42.16,44.98,45.85,46.17,44.96,44.59,42.84,40.04,38.98,40.06,42.15,46.07,50.99,57.35,62.81,66.99,71.12,74.22,74.84,74.79,73.59,74.84,77.17,81.8,85.2,90.38,93.34,96.09,103.66,111.27,115.0,120.98,125.09,127.28,130.32,133.65,118.27,98.68,77.62
South West,4.59,4.68,4.66,4.43,4.46,4.6,4.85,4.85,5.24,5.35,5.65,6.13,6.7,6.86,7.11,7.18,7.2,7.06,6.93,6.44,6.58,6.77,6.65,6.79,7.7,8.78,10.45,11.56,12.16,12.94,13.8,13.44,12.59,11.54,10.9,10.53,10.17,9.72,9.87,9.87,10.28,10.7,11.89,13.53,14.83,16.11,18.03,19.95,21.81,22.42,22.29,25.26,27.56,31.91,35.61,39.49,43.5,48.84,54.08,59.43,64.64,71.42,75.44,77.52,77.04,75.42,66.65,54.12,39.68
Yorkshire and the Humber,16.94,17.15,18.57,19.26,19.52,19.57,20.32,20.39,20.06,18.32,17.19,16.63,16.37,15.79,15.45,15.7,15.79,16.01,15.63,16.25,16.83,18.3,19.21,20.32,22.7,27.24,29.66,32.33,34.82,37.63,43.65,45.65,46.1,48.36,49.81,49.92,49.81,47.23,47.96,50.9,53.12,56.22,60.73,67.6,72.03,77.58,81.57,87.81,92.62,97.37,103.71,118.23,130.49,148.19,168.67,192.02,207.0,218.14,232.49,249.96,265.13,270.98,265.89,268.89,266.87,272.23,239.45,193.5,150.43
East Midlands,13.3,13.67,15.78,17.6,17.68,17.6,17.51,17.12,16.83,15.34,13.3,12.92,12.74,13.03,12.9,12.78,11.64,11.56,11.35,11.02,10.92,10.92,11.1,11.19,12.86,16.15,19.36,21.13,23.66,25.27,30.71,34.0,34.24,33.71,34.53,34.04,33.73,30.65,28.47,28.12,28.74,29.55,31.8,34.95,37.16,38.77,40.41,42.62,44.42,46.26,48.86,54.49,61.02,72.52,85.77,102.61,115.26,128.97,146.86,164.31,178.21,194.11,197.79,199.63,198.66,201.02,184.25,152.55,116.15
North East,5.09,5.06,5.13,6.07,6.4,7.49,8.09,8.31,8.16,8.58,8.24,8.5,8.13,8.54,9.1,9.55,9.81,10.3,11.16,12.02,12.96,14.64,16.07,18.02,20.56,22.92,28.05,32.1,37.83,42.02,46.18,50.26,54.16,55.39,56.22,53.33,52.29,52.1,53.45,56.67,61.65,71.61,81.72,97.94,113.15,123.49,134.8,147.34,152.25,163.07,163.79,175.02,189.63,199.48,212.48,230.72,240.98,255.96,268.36,280.98,298.13,305.33,306.19,298.25,291.35,289.63,271.32,225.66,179.11
Scotland,6.3,6.42,6.37,6.46,6.13,6.02,6.1,5.97,6.1,6.39,6.66,7.47,8.97,9.72,10.29,10.91,10.62,10.51,10.6,9.79,10.05,10.84,11.48,13.01,15.34,17.06,18.96,20.15,20.94,21.89,22.33,20.57,21.14,21.69,22.53,23.94,24.38,24.73,27.2,28.24,28.87,29.85,30.26,32.86,37.76,42.5,47.85,56.1,61.72,65.38,66.1,69.24,72.25,76.29,77.41,81.82,86.67,93.72,102.36,112.04,120.39,127.56,132.58,136.93,140.81,144.34,142.33,124.87,
