,population,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15
South East,9180135,35622,35643,35719,35785,35850,35911,35965,35996,36025,36138,36215,36298,36374,36469,36514,36550,36659,36736,36851,36981,37091,37169,37253,37347,37437,37552,37679,37795,37899,38000,38117,38248,38457,38683,38916,39078,39259,39464,39655,39825,40036,40202,40343,40411,40567,40709,40853,41022,41218,41401,41587,41824,42109,42390,42722,43068,43316,43631,44064,44500,45090,45733,46451,47099,47747,48623,49434,50480.0,51549.0,52432.0,53046.0,53546.0,54265.0,54517.0,54539.0,54539.0
London,8961989,35784,35860,35947,36051,36165,36269,36391,36446,36513,36655,36804,36961,37085,37211,37316,37404,37593,37774,37925,38129,38296,38414,38557,38753,38922,39086,39315,39536,39674,39807,40023,40334,40667,41015,41370,41641,41844,42294,42627,42962,43355,43677,43910,44026,44325,44599,44906,45230,45624,45986,46407,46840,47380,48026,48633,49237,49810,50376,51167,51937,53026,54186,55324,56170,57081,58443,59714,61234.0,62793.0,64162.0,65043.0,65795.0,67058.0,67331.0,67346.0,67346.0
North West,7341196,46868,47036,47336,47615,47877,48155,48394,48609,48768,49126,49436,49711,49948,50189,50345,50461,50743,50935,51189,51413,51623,51796,51914,52145,52357,52641,52928,53287,53534,53791,54054,54500,55162,55785,56416,56950,57520,58472,59328,60157,61063,61935,62690,63298,64342,65415,66846,68235,69638,71107,72633,74061,75959,77994,80114,82207,84119,86245,89112,92123,95495,98972,102287,105196,108087,112346,116845,121164.0,125376.0,129059.0,131986.0,134854.0,139118.0,140209.0,140311.0,140312.0
East of England,6236072,24988,25024,25092,25148,25201,25245,25315,25359,25382,25449,25496,25562,25623,25691,25722,25749,25812,25871,25934,26016,26079,26129,26181,26283,26383,26476,26598,26700,26780,26868,26969,27092,27264,27413,27536,27631,27711,27870,28037,28162,28327,28455,28538,28600,28740,28886,29031,29177,29392,29536,29713,29888,30107,30326,30567,30810,31009,31268,31632,32042,32464,32929,33444,33885,34348,34985,35649,36331.0,37027.0,37658.0,38071.0,38495.0,39159.0,39367.0,39381.0,39381.0
West Midlands,5934037,27367,27409,27498,27596,27690,27804,27910,27984,28061,28218,28382,28515,28632,28803,28899,28972,29110,29220,29338,29501,29605,29681,29763,29893,30035,30160,30303,30460,30573,30667,30794,31053,31389,31755,32178,32492,32810,33296,33722,34110,34495,34846,35138,35352,35672,36035,36487,36996,37580,38164,38755,39399,40010,40707,41400,42021,42602,43122,43840,44589,45561,46456,47384,48141,48824,49991,51192,52385.0,53635.0,54807.0,55694.0,56557.0,57922.0,58210.0,58241.0,58241.0
South West,5624696,13422,13432,13475,13529,13569,13614,13655,13680,13695,13737,13778,13820,13873,13928,13953,13990,14038,14096,14165,14250,14314,14353,14394,14443,14493,14555,14612,14684,14734,14768,14825,14926,15049,15200,15334,15418,15496,15601,15682,15757,15849,15947,16010,16068,16148,16237,16312,16427,16549,16679,16829,16982,17143,17326,17549,17776,17940,18083,18403,18693,19121,19552,19997,20387,20830,21445,22036,22757.0,23569.0,24240.0,24747.0,25163.0,25687.0,25785.0,25801.0,25801.0
Yorkshire and the Humber,5502967,32437,32522,32666,32812,32969,33145,33265,33369,33466,33688,33872,34043,34222,34383,34491,34570,34696,34818,34958,35123,35252,35341,35434,35565,35699,35818,36017,36178,36348,36491,36683,36948,37317,37649,37957,38264,38562,39085,39460,39854,40310,40698,41011,41303,41684,42099,42655,43233,43792,44353,45023,45648,46368,47144,48065,48889,49711,50730,52154,53549,55299,57347,59456,61102,62734,64948,67304,69889.0,72259.0,74088.0,75899.0,77420.0,79929.0,80481.0,80537.0,80537.0
East Midlands,4835928,23751,23805,23913,24001,24116,24229,24320,24394,24466,24676,24852,24971,25080,25167,25222,25280,25418,25495,25596,25696,25797,25846,25898,25981,26054,26145,26229,26325,26374,26435,26522,26676,26926,27165,27347,27518,27657,28007,28320,28582,28795,29017,29164,29288,29489,29697,29942,30185,30446,30702,30978,31286,31572,31896,32246,32594,32939,33341,33921,34523,35403,36394,37556,38513,39578,41023,42469,44021.0,45781.0,47121.0,48167.0,49185.0,50744.0,51379.0,51398.0,51398.0
North East,2669941,15385,15401,15420,15440,15470,15494,15509,15521,15536,15557,15602,15641,15694,15725,15743,15754,15786,15822,15868,15911,15953,15986,16009,16048,16097,16166,16232,16299,16377,16438,16529,16646,16778,16981,17156,17387,17560,17762,17988,18224,18460,18657,18811,18956,19153,19415,19737,20106,20569,20993,21571,22174,22712,23336,24040,24634,25347,25944,26847,27775,28662,29713,30794,31781,32778,34012,35277,36622.0,37865.0,38969.0,39744.0,40557.0,41745.0,42521.0,42647.0,42647.0
Scotland,5463300,18697,18716,18778,18836,18903,18968,19014,19041,19067,19126,19189,19238,19297,19347,19367,19400,19475,19553,19646,19787,19878,19929,19996,20055,20127,20225,20322,20427,20521,20623,20766,20965,21157,21358,21528,21665,21819,21986,22089,22312,22543,22759,22973,23151,23337,23575,23855,24120,24390,24626,24946,25400,25897,26469,27185,27762,28198,28557,29183,29844,30637,31414,32232,32933,33677,34775,35965,37214.0,38383.0,39475.0,40414.0,41370.0,42661.0,43741.0,44036.0,
